image_id,width,height,x_center,y_center,classes
FG_CAM00_220024,0.363230519,0.155155642,0.409699675,0.609192607,0
FG_CAM00_220024,0.224431818,0.162451362,0.394277597,0.828307393,1
FG_CAM00_220024,0.111607143,0.0807393,0.740868506,0.56614786,6
FG_CAM00_220024,0.039772727,0.060311284,0.635957792,0.527723735,3
FG_CAM00_220024,0.321022727,0.065661479,0.401988636,0.709873541,4
FG_CAM00_220024,0.075892857,0.116245136,0.417410714,0.765321012,5
FG_CAM00_220025,0.363230519,0.155155642,0.409699675,0.609192607,0
FG_CAM00_220025,0.224431818,0.162451362,0.394277597,0.828307393,1
FG_CAM00_220025,0.111607143,0.0807393,0.740868506,0.56614786,6
FG_CAM00_220025,0.039772727,0.060311284,0.635957792,0.527723735,3
FG_CAM00_220025,0.321022727,0.065661479,0.401988636,0.709873541,4
FG_CAM00_220025,0.075892857,0.116245136,0.417410714,0.765321012,5
FG_CAM00_220026,0.363230519,0.155155642,0.409699675,0.609192607,0
FG_CAM00_220026,0.224431818,0.162451362,0.394277597,0.828307393,1
FG_CAM00_220026,0.111607143,0.0807393,0.740868506,0.56614786,6
FG_CAM00_220026,0.039772727,0.060311284,0.635957792,0.527723735,3
FG_CAM00_220026,0.321022727,0.065661479,0.401988636,0.709873541,4
FG_CAM00_220026,0.075892857,0.116245136,0.417410714,0.765321012,5
FG_CAM00_220027,0.363230519,0.155155642,0.409699675,0.609192607,0
FG_CAM00_220027,0.224431818,0.162451362,0.394277597,0.828307393,1
FG_CAM00_220027,0.111607143,0.0807393,0.740868506,0.56614786,6
FG_CAM00_220027,0.039772727,0.060311284,0.635957792,0.527723735,3
FG_CAM00_220027,0.321022727,0.065661479,0.401988636,0.709873541,4
FG_CAM00_220027,0.075892857,0.116245136,0.417410714,0.765321012,5
FG_CAM00_220028,0.363230519,0.155155642,0.409699675,0.609192607,0
FG_CAM00_220028,0.224431818,0.162451362,0.394277597,0.828307393,1
FG_CAM00_220028,0.111607143,0.0807393,0.740868506,0.56614786,6
FG_CAM00_220028,0.039772727,0.060311284,0.635957792,0.527723735,3
FG_CAM00_220028,0.321022727,0.065661479,0.401988636,0.709873541,4
